id,host_id,listing_url,last_scraped,host_since,first_review,last_review,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,has_availability,instant_bookable,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calendar_updated,calculated_host_listings_count_shared_rooms,host_location,source,neighbourhood_group_cleansed
6,29,https://www.airbnb.com/rooms/6,2024-12-23,2008-03-03,2008-06-22,2024-10-20,Sara,within an hour,100%,93%,f,1,t,t,North Hills,32.75522,-117.12873,Entire home,Entire home/apt,8,2 baths,3.0,6.0,"[""Dishes and silverware"", ""Keypad"", ""Heating"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In unit"", ""Oven"", ""Dishwasher"", ""Blender"", ""Board games"", ""Free parking on premises"", ""Iron"", ""Hot water"", ""Room-darkening shades"", ""Children's playroom"", ""Outlet covers"", ""75 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Coffee"", ""Sun loungers"", ""Life size games"", ""Shampoo"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Bed linens"", ""Mini fridge"", ""Microwave"", ""Essentials"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Kitchen"", ""Self check-in"", ""LG refrigerator"", ""Wifi"", ""Long term stays allowed"", ""GE gas stove"", ""Ceiling fan"", ""Clothing storage"", ""Wine glasses"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Free street parking"", ""Central air conditioning"", ""High chair"", ""Private patio or balcony"", ""Children\u2019s bikes"", ""Children\u2019s books and toys"", ""Private BBQ grill: gas"", ""Pack \u2019n play/Travel crib - available upon request"", ""Game console: Xbox One"", ""Laundromat nearby"", ""Baby monitor"", ""Mini golf"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Dedicated workspace"", ""Fireplace guards"", ""EV charger - level 2, tesla only"", ""Shower gel"", ""Hair dryer"", ""Hangers"", ""Dining table"", ""Conditioner"", ""Fire pit"", ""Portable fans"", ""Cleaning products"", ""Extra pillows and blankets"", ""Body soap"", ""First aid kit"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Babysitter recommendations"", ""Outdoor furniture"", ""Ethernet connection"", ""Beach essentials"", ""Books and reading material"", ""Outdoor dining area"", ""Freezer"", ""Barbecue utensils""]",t,f,$249.00,1,30,1.3,30.0,0,9,165,12,0,4.81,4.83,4.71,4.99,4.98,4.79,4.8,"STR-04545L, 631067",,0,"San Diego, CA",city scrape,
12447,48669,https://www.airbnb.com/rooms/12447,2024-12-23,2009-10-27,2011-11-10,2024-10-25,Jennifer,within an hour,100%,100%,t,2,t,t,Pacific Beach,32.80533,-117.234,Private room in condo,Private room,2,1 private bath,1.0,0.0,"[""Wifi"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""Clothing storage: wardrobe and dresser"", ""Heating"", ""Smoke alarm"", ""32 inch HDTV with Roku"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Kitchenette"", ""Conditioner"", ""Bathtub"", ""Cooking basics"", ""Bed linens"", ""Mini fridge"", ""Free parking on premises"", ""Microwave"", ""Body soap"", ""Iron"", ""Paid washer \u2013 In building"", ""Hot water""]",t,f,$87.00,6,365,6.0,365.0,0,248,4,3,0,4.75,4.0,5.0,5.0,5.0,4.75,4.75,"STR-06735L, 631362",,0,"San Diego, CA",city scrape,
29967,129123,https://www.airbnb.com/rooms/29967,2024-12-23,2010-05-21,2010-07-09,2024-08-22,Michael,within a few hours,90%,74%,t,9,t,t,Pacific Beach,32.80751,-117.2576,Entire bungalow,Entire home/apt,6,2 baths,2.0,3.0,"[""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""TV with standard cable"", ""Dryer"", ""Patio or balcony"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Free parking on premises"", ""Essentials"", ""Iron"", ""First aid kit"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Hot water"", ""Washer""]",t,f,$268.00,4,365,4.0,365.0,10,331,115,12,0,4.77,4.74,4.54,4.93,4.93,4.84,4.76,"STR-05218L, 645110",,0,"San Diego, CA",city scrape,
54001,252692,https://www.airbnb.com/rooms/54001,2024-12-23,2010-10-04,2011-01-04,2024-11-02,Marsha,within a few hours,100%,84%,t,2,t,t,La Jolla,32.81301,-117.26856,Entire guesthouse,Entire home/apt,2,1 bath,2.0,3.0,"[""Safe"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""Long term stays allowed"", ""Keypad"", ""Carbon monoxide alarm"", ""Private BBQ grill: electric, gas"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Ceiling fan"", ""Courtyard view"", ""Smoke alarm"", ""Coffee maker: Keurig coffee machine"", ""Coffee"", ""Sun loungers"", ""Wine glasses"", ""Dedicated workspace"", ""Garden view"", ""Central heating"", ""Costco purchases body soap"", ""Free street parking"", ""GE refrigerator"", ""Hair dryer"", ""Hangers"", ""Kitchenette"", ""Private entrance"", ""Dining table"", ""Portable heater"", ""Hot water kettle"", ""Board games"", ""32 inch HDTV with Amazon Prime Video, Fire TV, Hulu, Netflix, premium cable, Roku"", ""Bed linens"", ""Mini fridge"", ""Private patio or balcony"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Fast wifi \u2013 333 Mbps"", ""Iron"", ""Single level home"", ""First aid kit"", ""Piano"", ""Outdoor furniture"", ""L'oreal, Kirkland, Dr. Bronner's Castile shampoo"", ""Beach essentials"", ""Hot water"", ""Kirkland conditioner"", ""Exercise equipment: free weights, yoga mat"", ""Books and reading material"", ""Outdoor shower"", ""Outdoor dining area"", ""Self check-in"", ""Freezer"", ""Shared beach access"", ""Laundromat nearby"", ""Room-darkening shades"", ""Barbecue utensils""]",t,f,$159.00,3,360,3.0,360.0,18,85,346,27,0,4.93,4.92,4.94,4.97,4.96,4.97,4.88,"STR-05706L, 523003",,0,"San Diego, CA",city scrape,
62274,302986,https://www.airbnb.com/rooms/62274,2024-12-23,2010-11-28,2010-12-05,2024-11-30,Isabel,within an hour,100%,96%,t,3,t,t,Pacific Beach,32.80583,-117.24244,Private room in home,Private room,2,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Ceiling fan"", ""Refrigerator"", ""Dedicated workspace"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Private entrance"", ""Conditioner"", ""Portable heater"", ""Bed linens"", ""Mini fridge"", ""Private patio or balcony"", ""Microwave"", ""Free parking on premises"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Iron"", ""Single level home"", ""BBQ grill"", ""Air conditioning"", ""Hot water"", ""Outdoor dining area"", ""Room-darkening shades""]",t,f,$91.00,1,10,1.1,1125.0,10,179,933,83,3,4.78,4.86,4.86,4.93,4.86,4.87,4.79,"STR-00821L, 520121",,0,"San Diego, CA",city scrape,
103417,252692,https://www.airbnb.com/rooms/103417,2024-12-23,2010-10-04,2011-08-16,2024-10-30,Marsha,within a few hours,100%,84%,t,2,t,t,La Jolla,32.81321,-117.26853,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Clothing storage: closet and dresser"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Rice maker"", ""Keypad"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Ceiling fan"", ""Courtyard view"", ""Drying rack for clothing"", ""Smoke alarm"", ""Coffee maker: Keurig coffee machine"", ""Coffee"", ""Wine glasses"", ""Dedicated workspace"", ""Garden view"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Blender"", ""Private entrance"", ""Dining table"", ""Conditioner"", ""Portable heater"", ""Costco products shampoo"", ""Cooking basics"", ""Hot water kettle"", ""Board games"", ""Bed linens"", ""32 inch HDTV with Amazon Prime Video, Hulu, Netflix, Roku, standard cable"", ""Portable fans"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Iron"", ""Single level home"", ""Westin Holly electric stove"", ""First aid kit"", ""Piano"", ""Outdoor furniture"", ""Baking sheet"", ""Beach essentials"", ""Kitchen"", ""Hot water"", ""Kenmore refrigerator"", ""Exercise equipment: free weights, yoga mat"", ""Outdoor dining area"", ""Outdoor shower"", ""Free parking on premises \u2013 1 space"", ""Self check-in"", ""Lock on bedroom door"", ""Shared patio or balcony"", ""Single oven"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades""]",t,f,$67.00,3,28,3.0,28.0,15,73,261,11,0,4.93,4.92,4.94,4.94,4.97,4.95,4.9,"STR-05706L, 523003",,0,"San Diego, CA",city scrape,
293133,797956,https://www.airbnb.com/rooms/293133,2024-12-23,2011-07-09,,,Michael,,,,f,3,t,t,North Hills,32.74925,-117.13299,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,"[""Air conditioning"", ""Kitchen"", ""Wifi"", ""Washer"", ""Dryer"", ""Heating""]",t,f,$97.00,31,90,31.0,90.0,30,365,0,0,0,,,,,,,,,,0,"San Diego, CA",city scrape,
466663,2315442,https://www.airbnb.com/rooms/466663,2024-12-23,2012-05-07,2012-06-07,2024-11-26,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72699,-117.16578,Private room in home,Private room,3,Shared half-bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Keypad"", ""Carbon monoxide alarm"", ""Heating"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""KitchenAid gas stove"", ""Refrigerator"", ""Dedicated workspace"", ""Fire extinguisher"", ""Garden view"", ""Window AC unit"", ""Oven"", ""Pets allowed"", ""Exterior security cameras on property"", ""Free street parking"", ""Indoor fireplace: gas"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Dining table"", ""Cooking basics"", ""Bed linens"", ""Portable fans"", ""Private patio or balcony"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Body soap"", ""32 inch HDTV with standard cable"", ""Iron"", ""Outdoor furniture"", ""BBQ grill"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Shared backyard \u2013 Fully fenced"", ""Lock on bedroom door"", ""Coffee maker"", ""Clothing storage: closet"", ""Self check-in"", ""Laundromat nearby"", ""Room-darkening shades"", ""Barbecue utensils""]",t,f,$49.00,1,28,1.0,28.0,25,85,833,41,1,4.66,4.7,4.58,4.88,4.83,4.73,4.69,"STR-07583L, 629315",,0,"San Diego, CA",city scrape,
468475,2315442,https://www.airbnb.com/rooms/468475,2024-12-23,2012-05-07,2012-07-17,2024-12-01,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72857,-117.16604,Private room in cottage,Private room,3,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Keypad"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Refrigerator"", ""Dedicated workspace"", ""Free parking on premises \u2013 4 spaces"", ""Garden view"", ""Window AC unit"", ""Oven"", ""HDTV with standard cable, Roku"", ""Pets allowed"", ""Exterior security cameras on property"", ""Free street parking"", ""Patio or balcony"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Indoor fireplace"", ""Shampoo"", ""Private entrance"", ""Dining table"", ""Cooking basics"", ""Bed linens"", ""Portable fans"", ""Mini fridge"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Body soap"", ""Iron"", ""Outdoor furniture"", ""BBQ grill"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Shared backyard \u2013 Fully fenced"", ""Lock on bedroom door"", ""Coffee maker"", ""Clothing storage: closet"", ""Self check-in"", ""Laundromat nearby"", ""Room-darkening shades"", ""Barbecue utensils""]",t,f,$54.00,1,28,1.0,28.0,8,58,774,49,2,4.57,4.6,4.47,4.88,4.84,4.72,4.62,"STR-07583L, 629315",,0,"San Diego, CA",city scrape,
470520,2315442,https://www.airbnb.com/rooms/470520,2024-12-23,2012-05-07,2012-06-23,2024-12-06,Michael,within an hour,99%,100%,f,10,t,t,Park West,32.72839,-117.16589,Private room in home,Private room,2,1 shared bath,1.0,1.0,"[""City skyline view"", ""Wifi"", ""Dishes and silverware"", ""HDTV with standard cable"", ""Keypad"", ""Carbon monoxide alarm"", ""Portable air conditioning"", ""Heating"", ""Luggage dropoff allowed"", ""Bay view"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Refrigerator"", ""Fire extinguisher"", ""Garden view"", ""Oven"", ""Pets allowed"", ""Exterior security cameras on property"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Indoor fireplace"", ""Shampoo"", ""Harbor view"", ""Dining table"", ""Cooking basics"", ""Hot water kettle"", ""Bed linens"", ""Portable fans"", ""Private patio or balcony"", ""Microwave"", ""Free parking on premises"", ""Cleaning products"", ""Essentials"", ""Iron"", ""Outdoor furniture"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Outdoor shower"", ""Gas stove"", ""Lock on bedroom door"", ""Coffee maker"", ""Shared backyard \u2013 Fully fenced"", ""BBQ grill: gas"", ""Clothing storage: closet"", ""Self check-in"", ""Laundromat nearby"", ""Room-darkening shades"", ""Barbecue utensils""]",t,f,$51.00,1,28,1.0,28.0,20,80,935,30,4,4.75,4.76,4.62,4.91,4.88,4.81,4.75,"STR-07583L, 629315",,0,"San Diego, CA",city scrape,
