id,host_id,listing_url,last_scraped,host_since,first_review,last_review,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,has_availability,instant_bookable,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calendar_updated,calculated_host_listings_count_shared_rooms,host_location,source,neighbourhood_group_cleansed
4652671,393285347,https://www.airbnb.com/rooms/4652671,2024-12-23,2021-03-19,2022-05-08,2024-12-10,Magdalena,,,,f,1,t,t,Grant Hill,32.70813,-117.14112,Entire guest suite,Entire home/apt,4,1 bath,2.0,2.0,"[""Pack \u2019n play/Travel crib - always at the listing"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Long term stays allowed"", ""Keypad"", ""Children\u2019s dinnerware"", ""Carbon monoxide alarm"", ""Ceiling fan"", ""Smoke alarm"", ""Drying rack for clothing"", ""Refrigerator"", ""Coffee"", ""Wine glasses"", ""Dedicated workspace"", ""Fire extinguisher"", ""Oven"", ""Children\u2019s books and toys for ages 2-5 years old and 5-10 years old"", ""Central heating"", ""Exterior security cameras on property"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Private entrance"", ""Dining table"", ""Conditioner"", ""Coffee maker: Nespresso"", ""Bathtub"", ""Cooking basics"", ""Hot water kettle"", ""Board games"", ""Bed linens"", ""Private patio or balcony"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Body soap"", ""Iron"", ""First aid kit"", ""Outdoor furniture"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Hot water"", ""Beach essentials"", ""Self check-in"", ""Books and reading material"", ""Outdoor dining area"", ""Clothing storage: closet"", ""HDTV"", ""Electric stove"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades""]",t,t,$136.00,2,30,2.0,1125.0,22,278,134,48,1,4.94,4.95,4.99,4.99,4.99,4.52,4.87,"STR-02266L, 641771",,0,,city scrape,
13192599,511187847,https://www.airbnb.com/rooms/13192599,2024-12-23,2023-04-22,2016-05-30,2024-12-08,Kevin,,,,f,1,t,f,Mission Bay,32.79209,-117.24309,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Google home Bluetooth sound system"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Long term stays allowed"", ""Rice maker"", ""Keypad"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Stove"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Refrigerator"", ""Sun loungers"", ""Wine glasses"", ""Dedicated workspace"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Pets allowed"", ""Shower gel"", ""Bikes"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Exercise equipment: free weights"", ""Dishwasher"", ""Blender"", ""Shampoo"", ""Private entrance"", ""Dining table"", ""AC - split type ductless system"", ""Bathtub"", ""Cooking basics"", ""Hot water kettle"", ""Board games"", ""Bed linens"", ""Portable fans"", ""Private patio or balcony"", ""Microwave"", ""Kayak"", ""Free parking on premises"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Beach access \u2013 Beachfront"", ""Iron"", ""Single level home"", ""50 inch HDTV with Amazon Prime Video, Disney+, Hulu, Netflix, Roku, standard cable"", ""First aid kit"", ""Outdoor furniture"", ""BBQ grill"", ""Baking sheet"", ""Beach essentials"", ""Kitchen"", ""Hot water"", ""Washer"", ""Books and reading material"", ""Outdoor dining area"", ""Coffee maker: french press, Keurig coffee machine"", ""Clothing storage: closet"", ""Cleaning available during stay"", ""Self check-in"", ""Freezer"", ""Generic body soap"", ""Heating - split type ductless system"", ""Barbecue utensils""]",t,f,$200.00,2,14,2.1,1125.0,4,170,289,20,1,4.93,4.97,4.88,4.97,4.99,4.94,4.84,"STR-07405L, 643974",,0,"San Diego, CA",city scrape,
16021905,559557970,https://www.airbnb.com/rooms/16021905,2024-12-23,2024-01-31,2017-03-18,2024-09-01,Steve,,,,f,1,t,t,East Village,32.71475,-117.15363,Entire condo,Entire home/apt,2,1 bath,0.0,1.0,"[""City skyline view"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Long term stays allowed"", ""Paid parking lot off premises"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Smoke alarm"", ""Coffee"", ""Marina view"", ""Refrigerator"", ""Wine glasses"", ""Dedicated workspace"", ""TV with standard cable"", ""Oven"", ""Dryer"", ""Pets allowed"", ""Pocket wifi"", ""Shared hot tub"", ""Clothing storage: closet and wardrobe"", ""Hangers"", ""Dishwasher"", ""Patio or balcony"", ""Blender"", ""Harbor view"", ""Private entrance"", ""Free parking garage on premises \u2013 1 space"", ""Bathtub"", ""Cooking basics"", ""Gym"", ""Bed linens"", ""Microwave"", ""Sea view"", ""Essentials"", ""Extra pillows and blankets"", ""Lockbox"", ""Iron"", ""Single level home"", ""Ocean view"", ""BBQ grill"", ""Ethernet connection"", ""Air conditioning"", ""Kitchen"", ""Hot water"", ""Washer"", ""Beach essentials"", ""Coffee maker"", ""Elevator"", ""Cleaning available during stay"", ""Self check-in"", ""Barbecue utensils""]",t,t,$149.00,31,250,31.0,1125.0,13,239,20,2,0,4.75,4.9,4.6,4.74,5.0,4.89,4.58,,,0,"Long Beach, CA",city scrape,
18777754,547032245,https://www.airbnb.com/rooms/18777754,2024-12-23,2023-11-18,2017-05-29,2024-12-09,Luis,,,,f,1,f,t,Midtown,32.74769,-117.15302,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Safe"", ""Clothing storage: closet and dresser"", ""Free washer \u2013 In building"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Long term stays allowed"", ""Keypad"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""48 inch HDTV with premium cable"", ""Heating"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee"", ""Refrigerator"", ""Stainless steel gas stove"", ""Wine glasses"", ""Dedicated workspace"", ""Fire extinguisher"", ""Garden view"", ""Oven"", ""Exterior security cameras on property"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Blender"", ""Coffee maker: espresso machine"", ""Shampoo"", ""Private entrance"", ""Conditioner"", ""AC - split type ductless system"", ""Cooking basics"", ""Hot water kettle"", ""Board games"", ""Bed linens"", ""Private patio or balcony"", ""Free parking on premises"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Iron"", ""First aid kit"", ""Outdoor furniture"", ""BBQ grill"", ""Beach essentials"", ""Kitchen"", ""Hot water"", ""Outdoor dining area"", ""Shared backyard \u2013 Fully fenced"", ""Cleaning available during stay"", ""Self check-in"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades""]",t,f,$148.00,2,28,1.3,1125.0,16,103,464,66,2,4.96,4.97,4.97,4.93,4.98,4.98,4.91,"STR-10440L, 624166",,0,"San Diego, CA",city scrape,
19365167,413179218,https://www.airbnb.com/rooms/19365167,2024-12-23,2021-07-15,2017-08-27,2024-02-02,Plinio,,,,f,13,t,t,Pacific Beach,32.7982,-117.25643,Private room in hostel,Private room,3,3 shared baths,1.0,2.0,"[""Mosquito net"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Building staff"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""Drying rack for clothing"", ""Clothing storage"", ""Refrigerator"", ""Coffee"", ""Wine glasses"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Shower gel"", ""Bikes"", ""Patio or balcony"", ""Hair dryer"", ""Hangers"", ""Free street parking"", ""Blender"", ""Shampoo"", ""Private entrance"", ""Dining table"", ""Cooking basics"", ""Hot water kettle"", ""Board games"", ""Central air conditioning"", ""Bed linens"", ""Mini fridge"", ""Free parking on premises"", ""Microwave"", ""Waterfront"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Beach access \u2013 Beachfront"", ""Body soap"", ""Backyard"", ""Breakfast"", ""Iron"", ""Single level home"", ""First aid kit"", ""Outdoor furniture"", ""Paid washer \u2013 In building"", ""Baking sheet"", ""Beach essentials"", ""Kitchen"", ""Hot water"", ""HDTV with Netflix, HBO Max, Amazon Prime Video, Chromecast, premium cable, standard cable"", ""Books and reading material"", ""Outdoor dining area"", ""Coffee maker"", ""Cleaning available during stay"", ""Self check-in"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades""]",t,t,$96.00,1,365,1.0,14.0,24,356,54,2,0,4.63,4.81,4.93,4.94,4.85,4.96,4.69,Exempt,,0,,city scrape,
20559677,402787971,https://www.airbnb.com/rooms/20559677,2024-12-23,2021-05-21,2017-09-03,2024-11-10,Waseem,,,,f,1,t,t,Rancho Penasquitos,32.95887,-117.16416,Private room in home,Private room,2,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Heating"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Ceiling fan"", ""Dedicated workspace"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Bathtub"", ""Bed linens"", ""Mini fridge"", ""Microwave"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Iron"", ""First aid kit"", ""Host greets you"", ""Air conditioning"", ""Hot water"", ""Lock on bedroom door"", ""Coffee maker"", ""Clothing storage: closet""]",t,t,$68.00,1,5,1.0,5.0,18,37,342,35,0,4.94,4.98,4.99,4.96,4.98,4.92,4.94,"STR-07119L, 648330",,0,"San Diego, CA",city scrape,
24379152,487442836,https://www.airbnb.com/rooms/24379152,2024-12-23,2022-11-12,2018-05-27,2024-12-07,Ethan,,,,,5,t,t,Chollas View,32.7162,-117.09564,Entire townhouse,Entire home/apt,6,1 bath,2.0,2.0,"[""Clothing storage: closet and dresser"", ""Free washer \u2013 In building"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee maker: Keurig coffee machine"", ""Refrigerator"", ""Coffee"", ""Fire extinguisher"", ""Stainless steel single oven"", ""Window AC unit"", ""Free driveway parking on premises \u2013 1 space"", ""Exterior security cameras on property"", ""Free street parking"", ""Samsung gas stove"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Blender"", ""Shampoo"", ""Private entrance"", ""Dining table"", ""Conditioner"", ""TV with Roku"", ""Portable heater"", ""Bathtub"", ""Cooking basics"", ""EV charger - level 2"", ""Bed linens"", ""Private patio or balcony"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Body soap"", ""Smart lock"", ""Iron"", ""Single level home"", ""First aid kit"", ""Baking sheet"", ""Kitchen"", ""Hot water"", ""Cleaning available during stay"", ""Self check-in"", ""Freezer""]",t,f,$164.00,2,1125,3.7,1125.0,8,320,268,53,1,4.78,4.87,4.75,4.85,4.9,4.61,4.74,"STR-04119L, 637453",,0,,city scrape,
24395419,430263904,https://www.airbnb.com/rooms/24395419,2024-12-23,2021-11-03,2018-08-05,2024-10-27,Diana,,,,f,1,t,f,Mission Bay,32.76643,-117.25248,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Keypad"", ""Carbon monoxide alarm"", ""Stove"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""TV with standard cable"", ""Oven"", ""Dryer"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Bathtub"", ""Cooking basics"", ""Free parking on premises"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Body soap"", ""Iron"", ""First aid kit"", ""Beach essentials"", ""Kitchen"", ""Hot water"", ""Washer"", ""Books and reading material"", ""Coffee maker"", ""Self check-in""]",t,t,$134.00,2,1125,2.0,1125.0,16,77,275,35,0,4.86,4.92,4.83,4.97,4.93,4.97,4.82,"STR-00534L, 641571",,0,"San Diego, CA",city scrape,
25294849,529686317,https://www.airbnb.com/rooms/25294849,2024-12-23,2023-08-03,2021-04-03,2024-11-30,Todd,,,,f,1,f,t,La Jolla,32.85561,-117.25625,Entire home,Entire home/apt,8,2.5 baths,3.0,6.0,"[""Private pool"", ""Wifi"", ""Toaster"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Heating"", ""TV"", ""Private backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Ceiling fan"", ""Coffee"", ""Refrigerator"", ""Wine glasses"", ""Dedicated workspace"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Blender"", ""Indoor fireplace"", ""Private entrance"", ""Dining table"", ""Bathtub"", ""Cooking basics"", ""Hot water kettle"", ""Central air conditioning"", ""Bed linens"", ""Mini fridge"", ""Private patio or balcony"", ""Microwave"", ""Free parking on premises"", ""Essentials"", ""Iron"", ""Outdoor furniture"", ""Beach essentials"", ""Kitchen"", ""Washer"", ""Outdoor dining area"", ""Outdoor shower"", ""Gas stove"", ""BBQ grill: gas"", ""Freezer"", ""Shared beach access"", ""Room-darkening shades"", ""Barbecue utensils""]",t,f,$879.00,3,365,3.0,365.0,16,273,11,6,1,5.0,5.0,5.0,5.0,5.0,5.0,4.82,"STR-00029L, 619761",,0,"San Diego, CA",city scrape,
25490841,516220868,https://www.airbnb.com/rooms/25490841,2024-12-23,2023-05-23,2018-06-11,2023-09-09,Nico,,,,,19,t,t,North Hills,32.75067,-117.14115,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Keypad"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""HDTV with Hulu, Netflix"", ""Courtyard view"", ""Refrigerator"", ""Fire extinguisher"", ""Garden view"", ""Oven"", ""Dryer"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Private entrance"", ""Cooking basics"", ""Microwave"", ""Essentials"", ""Backyard"", ""Iron"", ""First aid kit"", ""Outdoor furniture"", ""Kitchen"", ""Hot water"", ""Washer"", ""Hammock"", ""Outdoor dining area"", ""Coffee maker"", ""Self check-in""]",t,f,$78.00,31,60,31.0,1125.0,6,341,264,0,0,4.68,4.79,4.82,4.88,4.89,4.86,4.63,"STR-07572L, 631976",,0,"San Diego, CA",city scrape,
